Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/31/2025,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,22523.53,,
DEBIT,03/31/2025,"Payment to Chase card ending in 6118 03/31",-2000.00,LOAN_PMT,22538.53,,
DEBIT,03/31/2025,"Online Transfer to CHK ...3911 transaction#: 24244235978 03/31",-1500.00,ACCT_XFER,24538.53,,
DEBIT,03/31/2025,"Payment to Chase card ending in 6118 03/31",-1500.00,LOAN_PMT,26038.53,,
DEBIT,03/28/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,27538.53,,
DEBIT,03/28/2025,"ONLINE INTERNATIONAL WIRE TRANSFER VIA: CITIBANK N.A./0008 A/C: CITIBANK N.A. ASUNCION PARAGUAY PY BEN: ADMINISTRATION NACIONAL DE ELECTRICASUNCION PY REF: BUSINESS EXPENSES SSN: 00637192 TRN: 3790265087ES 03/28",-5000.00,WIRE_OUTGOING,27578.53,,
DEBIT,03/27/2025,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,32578.53,,
DEBIT,03/27/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,32593.53,,
DEBIT,03/27/2025,"ONLINE INTERNATIONAL WIRE TRANSFER A/C: CANADIAN IMPERIAL BANK OF COMMERCE TORONTO ON CANADA M5E 1-G4 CA REF: BUSINESS EXPENSES TRN: 3545765086ES 03/27",-2400.00,WIRE_OUTGOING,32633.53,,
DEBIT,03/27/2025,"Online Transfer to CHK ...3911 transaction#: 24194713468 03/27",-30000.00,ACCT_XFER,35033.53,,
CREDIT,03/27/2025,"FEDWIRE CREDIT VIA: TEXAS PARTNERS BANK/114025641 B/O: DELTA VALIDATOR LLC LAKE FOREST IL 60045 REF: CHASE NYC/CTR/BNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-0000000 07889 RFB=O/B TEXAS PARTNE OBI=LOC CREDIT FOR DELTA VALIDATOR IMAD: 0327MMQFMPPI000063 TRN: 0653121086FF",65000.00,WIRE_INCOMING,65033.53,,
DEBIT,03/19/2025,"Online Transfer to CHK ...3911 transaction#: 24105304029 03/19",-135.00,ACCT_XFER,33.53,,
DEBIT,03/18/2025,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,168.53,,
DEBIT,03/18/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,183.53,,
DEBIT,03/18/2025,"ONLINE INTERNATIONAL WIRE TRANSFER VIA: CITIBANK N.A./0008 A/C: CITIBANK N.A. ASUNCION PARAGUAY PY BEN: ADMINISTRATION NACIONAL DE ELECTRICASUNCION PY REF: BUSINESS EXPENSES SSN: 00528769 TRN: 3582085077ES 03/18",-42000.00,WIRE_OUTGOING,223.53,,
DEBIT,03/18/2025,"Payment to Chase card ending in 6118 03/18",-5000.00,LOAN_PMT,42223.53,,
CREDIT,03/18/2025,"BOOK TRANSFER CREDIT B/O: INTESA SANPAOLO SPA MILANO ITALY IT ORG:/IT96C0306901856161009302072 ALPS BLOCKCHAIN SPA OGB: INTESA SANPAOLO SPA PIAZZA DELLA SCALA 6 REF: PAYMENT ENERGY OF AYOLAS DELTA/CHGS/USD0,/CHGS/USD42,00/OCMT/USD47247,/ TRN: 3790072073FS",47205.00,WIRE_INCOMING,47223.53,,
DEBIT,03/17/2025,"Payment to Chase card ending in 6118 03/17",-450.00,LOAN_PMT,18.53,,
DEBIT,03/14/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,468.53,,
DEBIT,03/14/2025,"ONLINE INTERNATIONAL WIRE TRANSFER VIA: CITIBANK NYC/021000089 A/C: CITIBANK N.A. ASUNCION PARAGUAY PY BEN: ADMINISTRATION NACIONAL DE ELECTRICASUNCION PY REF: BUSINESS EXPENSES/TIME/18:27 IMAD: 0314MMQFMP2L037677 TRN: 3840315073ES 03/14",-35500.00,WIRE_OUTGOING,508.53,,
CREDIT,03/14/2025,"Online Transfer from CHK ...3911 transaction#: 24058389203",35000.00,ACCT_XFER,36008.53,,
DEBIT,03/12/2025,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,1008.53,,
DEBIT,03/12/2025,"Online Transfer to CHK ...3911 transaction#: 24032251752 03/12",-1000.00,ACCT_XFER,1023.53,,
CREDIT,03/12/2025,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US OGB=/4830659637 54 NEW YORK NY 10016-5596 OBI=/URI/EXOS - REPAIRS SSN: 00498050 TRN: 0120431071FC",1350.00,WIRE_INCOMING,2023.53,,
DEBIT,03/07/2025,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,673.53,,
DEBIT,03/07/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,688.53,,
DEBIT,03/07/2025,"ONLINE INTERNATIONAL WIRE TRANSFER VIA: CITIBANK N.A./0008 A/C: CITIBANK N.A. ASUNCION PARAGUAY PY BEN: ADMINISTRATION NACIONAL DE ELECTRICASUNCION PY REF: NIS 3290321 BUSINESS EXPENSES SSN: 00533604 TRN: 3499365066ES 03/07",-32000.00,WIRE_OUTGOING,728.53,,
CREDIT,03/07/2025,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US OGB=/4830659637 54 NEW YORK NY 10016-5596 OBI=/URI/FEBRUARY POWER SSN: 00436194 TRN: 0106539066FC",32041.24,WIRE_INCOMING,32728.53,,
DEBIT,02/28/2025,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,687.29,,
DEBIT,02/25/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,702.29,,
DEBIT,02/25/2025,"ONLINE INTERNATIONAL WIRE TRANSFER VIA: CITIBANK N.A./0008 A/C: CITIBANK N.A. ASUNCION PARAGUAY PY BEN: ADMINISTRATION NACIONAL DE ELECTRICASUNCION PY REF: BUSINESS EXPENSES SSN: 00418044 TRN: 3176505056ES 02/25",-44000.00,WIRE_OUTGOING,742.29,,
DEBIT,02/24/2025,"Online Transfer to CHK ...3911 transaction#: 23832543570 02/24",-1600.00,ACCT_XFER,44742.29,,
DEBIT,02/21/2025,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,46342.29,,
